category,code_name,quote,participant_id,page_ref,researcher_initials,notes
AI as human-created and controlled,ai_equals_robot,"companies make, like, very, very, expensive robots... it's AI",,2,,physicality remains a dominant early cognitive entry point
AI learns from data,ai_learns_from_data,it gets smarter with data over time,,7,,recognizes personalization/training as a mechanism
